timestamp,event_type,bottle,dispenser,time,temperature_C,fill_level_grams,recipe,vibration_index,final_weight,is_cracked,drop_oscillation,id,creation_date,color_levels_grams
2026-06-05T09:31:10.171314,recipe,,,,,,,,,,,3,2026-06-03,"{""red"": 10, ""blue"": 0, ""green"": 18}"
2026-06-05T09:31:12.009450,dispenser_red,80582707,red,1780644671,,172.04724943747877,3,81.04912751664745,,,,,,
2026-06-05T09:31:12.067740,temperature,,red,1780644671,34.15296436510173,,,,,,,,,
2026-06-05T09:31:12.072093,dispenser_blue,80582705,blue,1780644671,,837.7749692357812,3,-22.89519898320682,,,,,,
2026-06-05T09:31:12.077170,temperature,,blue,1780644671,32.93620839584263,,,,,,,,,
2026-06-05T09:31:12.081521,dispenser_green,80582703,green,1780644671,,322.8306544886186,3,164.14769046491904,,,,,,
2026-06-05T09:31:12.086325,temperature,,green,1780644671,35.15179019373873,,,,,,,,,
2026-06-05T09:31:14.088369,final_weight,80582703,,1780644673,,,,,27.92251860979773,,,,,
2026-06-05T09:31:14.093777,drop_oscillation,80582703,,,,,,,,,"[""0.0000000000"", ""0.8305303769"", ""1.2532113626"", ""1.0759909300"", ""1.6371608348"", ""1.2636033344"", ""1.4268308487"", ""1.4034934175"", ""0.5849027647"", ""0.4482908930"", ""0.4573245082"", ""0.2638649028"", ""0.0952461697"", ""0.0056508886"", ""-0.0390199645"", ""-0.0327250207"", ""-0.0236326486"", ""-0.0008357338"", ""0.0388290243"", ""0.0811887225"", ""0.1098455841"", ""0.1854019670"", ""0.2280078979"", ""0.3441419569"", ""0.4170641160"", ""0.5678712477"", ""0.7843912544"", ""1.2096306753"", ""1.0471103926"", ""1.7217279006"", ""2.2978091016"", ""1.9275401873"", ""2.4251067899"", ""2.0184782469"", ""2.5468828176"", ""2.9267787801"", ""2.8421884167"", ""1.4485131609"", ""0.7884118362"", ""0.2708591177"", ""-0.2097559540"", ""-0.6262204200"", ""-0.7371136874"", ""-0.5185937140"", ""-0.1973010164"", ""0.0892961881"", ""0.3794010629"", ""0.7197215142"", ""1.1105706016"", ""1.0198090663"", ""1.2060848997"", ""1.1616728428"", ""0.9669219148"", ""1.1963117996"", ""0.9673616927"", ""1.0205083400"", ""0.7534281256"", ""0.6016830198"", ""0.7009243418"", ""0.5839503740"", ""0.3255050577"", ""0.2007800378"", ""0.0145899761"", ""-0.1795706197"", ""-0.3973288514"", ""-0.7559758830"", ""-1.1940478601"", ""-1.6654837157"", ""-2.3808193597"", ""-2.4947730126"", ""-2.9952099347"", ""-2.6209655357"", ""-2.7249379476"", ""-2.9651112932"", ""-2.3773680275"", ""-1.3878587762"", ""-0.8475480943"", ""-0.5354597392"", ""-0.2412575031"", ""-0.1612021965"", ""-0.2453116165"", ""-0.5395098502"", ""-0.6757059642"", ""-0.8831701977"", ""-1.2715551677"", ""-2.3121015184"", ""-2.3215932811"", ""-2.3434218756"", ""-2.5532480946"", ""-2.2507863880"", ""-2.4315341701"", ""-2.4277671920"", ""-1.9482184564"", ""-2.3797800939"", ""-2.2254253681"", ""-1.7480987339"", ""-2.3101161478"", ""-1.6964402813"", ""-1.4492575707"", ""-1.6178850664"", ""-0.7523393078"", ""-0.8514839976"", ""-0.4289520503"", ""0.0031185280"", ""0.3353353709"", ""0.9490571938"", ""1.0251742176"", ""1.5844732670"", ""2.1172936957"", ""1.9082579410"", ""2.1819676333"", ""2.2857158011"", ""1.2435727516"", ""0.7895284528"", ""0.2926446462"", ""0.0824982426"", ""-0.0408462515"", ""0.0079660012"", ""0.3462261148"", ""0.7145155596"", ""0.9136489953"", ""1.4505499138"", ""1.8382216550"", ""1.9255615531"", ""2.7825676099"", ""2.6213393092"", ""2.9519901925"", ""2.9015677716"", ""2.7028258274"", ""2.6325993029"", ""3.8507062657"", ""3.1764459854"", ""2.9849838189"", ""3.0880966071"", ""1.9911365672"", ""2.8456850678"", ""1.9204570337"", ""1.9054138422"", ""2.1213254551"", ""2.0867323073"", ""1.4724088369"", ""1.1509719710"", ""0.4882071946"", ""0.0461300270"", ""-0.3228134113"", ""-0.8451780813"", ""-0.9873078587"", ""-0.7061078034"", ""-0.7984997643"", ""-0.4039097152"", ""-0.0271893299"", ""0.4485371204"", ""0.7084287859"", ""0.9329899801"", ""1.2006951783"", ""0.6446642809"", ""0.6042411930"", ""-0.0339052718"", ""-0.6091903731"", ""-0.8642951987"", ""-1.5830073484"", ""-1.7643200861"", ""-1.9362146767"", ""-2.1460030041"", ""-2.5395309709"", ""-2.9081472804"", ""-2.6093791763"", ""-3.0776309879"", ""-2.6932589975"", ""-2.8689295785"", ""-2.9543408156"", ""-2.7114937408"", ""-3.1249443624"", ""-2.8243931407"", ""-2.5389444999"", ""-2.6346044335"", ""-2.8233935969"", ""-2.3407898302"", ""-2.0630075717"", ""-1.7220056546"", ""-1.0229667591"", ""-0.8036151336"", ""-0.3122358393"", ""-0.0651515767"", ""0.0249582394"", ""-0.0913607350"", ""-0.3938383357"", ""-0.9133460042"", ""-1.5521778767"", ""-1.5480186062"", ""-2.1135998574"", ""-2.0191768929"", ""-2.7449495759"", ""-2.2298404103"", ""-1.1548950693"", ""-0.8420608553"", ""-0.3479793154"", ""0.1103465773"", ""0.5573391766"", ""0.7030391134"", ""1.4889665416"", ""1.2764451699"", ""1.5547116657"", ""1.9579508211"", ""1.8646198551"", ""1.9897298709"", ""1.6957531686"", ""2.0558917816"", ""2.2730621726"", ""1.6032694760"", ""2.2081005947"", ""2.1320128753"", ""1.7049783335"", ""1.5324792022"", ""1.6720621470"", ""1.6706427559"", ""1.6327317603"", ""0.9597950271"", ""0.7103400638"", ""0.6150285539"", ""0.2635848291"", ""0.1050586652"", ""0.2037740244"", ""0.5113368821"", ""0.6562100021"", ""1.1312920227"", ""1.4111879702"", ""1.6867469942"", ""3.5222925511"", ""2.8154164676"", ""2.7695144208"", ""2.3291973424"", ""2.1342711383"", ""2.0653632552"", ""1.0666314012"", ""0.6481526345"", ""0.3772999007"", ""0.0526133103"", ""-0.1369751792"", ""-0.3422576916"", ""-0.3329430068"", ""-0.5646943511"", ""-0.3864286506"", ""-0.7166162218"", ""-0.6245229351"", ""-0.5961217819"", ""-0.5702609335"", ""-0.7194979411"", ""-0.9158819149"", ""-0.8637385623"", ""-0.6647682067"", ""-0.6135945700"", ""-0.3854867047"", ""-0.4059700747"", ""-0.1046945232"", ""0.1291381623"", ""0.3857813572"", ""0.5016025082"", ""0.6469552225"", ""0.5828373448"", ""0.3970286837"", ""-0.0411061169"", ""-0.6298439487"", ""-1.4839061934"", ""-1.8504134596"", ""-2.6068606419"", ""-2.8937824723"", ""-2.0463809187"", ""-2.7508431492"", ""-2.6879281469"", ""-1.9288932442"", ""-1.1483372926"", ""-1.2015967405"", ""-0.9751710818"", ""-0.4843205192"", ""-0.3150164803"", ""-0.2499213583"", ""-0.1810354890"", ""-0.1443305332"", ""-0.2145651038"", ""-0.1477190246"", ""-0.1835670947"", ""-0.2623122494"", ""-0.2727727923"", ""-0.3068390951"", ""-0.2885533289"", ""-0.2412538883"", ""-0.4267395377"", ""-0.4240785969"", ""-0.4562008119"", ""-0.9421089733"", ""-1.3177731030"", ""-1.3773426250"", ""-1.5341346555"", ""-1.8548584183"", ""-2.1900505853"", ""-2.4125666361"", ""-1.7315453381"", ""-1.2260674718"", ""-1.0460819448"", ""-0.2099088575"", ""0.4258872490"", ""1.1592978094"", ""1.7963647691"", ""1.8313197991"", ""1.8559085651"", ""1.3991650856"", ""1.3565443621"", ""0.6617560549"", ""0.4109829934"", ""0.1716398865"", ""-0.0566325147"", ""-0.1721101030"", ""-0.2545180220"", ""-0.2289451347"", ""-0.1827231938"", ""-0.1086005794"", ""-0.0173363635"", ""0.0871137019"", ""0.2012707397"", ""0.1972165626"", ""0.3845387897"", ""0.5390946019"", ""0.6282742495"", ""0.8693525470"", ""1.0841440643"", ""1.1318937327"", ""1.0721801006"", ""1.4869330029"", ""1.7332453922"", ""1.6053205732"", ""2.8135921072"", ""2.3161958549"", ""2.3614293449"", ""3.5244173835"", ""2.5839506229"", ""1.9873425744"", ""2.1989536771"", ""1.3092926627"", ""0.3658468440"", ""-0.1333451221"", ""-0.3940994064"", ""-0.5172398619"", ""-0.3283450757"", ""-0.1174663393"", ""0.2270324587"", ""0.5291810088"", ""1.0720714146"", ""1.3514778557"", ""1.3512432953"", ""1.5747029593"", ""1.5921457421"", ""1.0654596565"", ""1.1657248292"", ""1.2192840564"", ""0.7466126590"", ""0.8168021518"", ""0.5358669181"", ""0.5018598714"", ""0.3613522520"", ""0.1869139931"", ""-0.0569484582"", ""-0.2610623201"", ""-0.5079656435"", ""-0.6482657339"", ""-0.8974229236"", ""-1.1764665073"", ""-1.5643076929"", ""-2.0482878688"", ""-2.6681659958"", ""-2.1508946093"", ""-2.4686273138"", ""-2.6927078585"", ""-2.5162989354"", ""-1.7909422724"", ""-1.2594179879"", ""-1.3746037914"", ""-0.7999962989"", ""-0.3489094266"", ""-0.1817109429"", ""-0.2201775773"", ""-0.5982751647"", ""-1.1417141490"", ""-1.5072173034"", ""-1.7550754717"", ""-2.3755362441"", ""-2.3141051317"", ""-1.9129538471"", ""-3.0536398105"", ""-2.2463340841"", ""-2.2310437701"", ""-2.5421166286"", ""-1.9254629898"", ""-2.0385556846"", ""-2.1246055232"", ""-1.3231304813"", ""-1.7581231269"", ""-1.3551140689"", ""-1.2087234103"", ""-1.0014685993"", ""-0.9277546379"", ""-0.4851969064"", ""-0.1773577165"", ""0.1766887965"", ""0.4946909889"", ""1.0344694835"", ""1.3552585790"", ""2.0879595117"", ""1.8140316047"", ""2.1323785127"", ""1.7716637592"", ""1.5070337181"", ""1.1431651831"", ""0.8979903537"", ""0.5472765609"", ""0.1364736325"", ""-0.0553406115"", ""-0.0702674606"", ""0.1819677628"", ""0.6647438421"", ""1.1132152342"", ""1.2943991490"", ""2.6713189181"", ""3.1679760099"", ""2.7565821475"", ""2.6938853705"", ""2.9150297629"", ""2.7297001337"", ""2.1992069958"", ""2.4917299009"", ""2.4826391325"", ""2.8445073695"", ""2.9398599905"", ""3.0414244504"", ""2.5875963451"", ""2.2315001274"", ""2.7850743391"", ""1.5342227902"", ""1.5919801350"", ""1.8023746198"", ""0.9583244837"", ""0.6149561060"", ""0.4202844397"", ""0.0029443813"", ""-0.3920545549"", ""-0.6137467228"", ""-0.6695028386"", ""-0.7961076417"", ""-0.8816312253"", ""-0.4086840109"", ""-0.0704158630"", ""0.4569389882"", ""0.7879052490"", ""1.1052510362"", ""1.2887936523"", ""0.9980411583"", ""0.4590295279"", ""0.0574619242"", ""-0.4977079339"", ""-1.2281443725"", ""-1.7690235500"", ""-2.3484996928"", ""-2.2430985584"", ""-2.7068545483"", ""-2.5691522066"", ""-2.6032503015"", ""-2.5856154556"", ""-3.1401258358"", ""-2.6250925471"", ""-2.2180726323"", ""-2.4934388118"", ""-2.2803725527"", ""-1.9033464909"", ""-2.6754411081"", ""-2.1042555506"", ""-2.2192256058"", ""-2.1778964770"", ""-2.2699489244"", ""-1.5121281898"", ""-0.8881392504"", ""-0.6620579696"", ""-0.5840323192"", ""-0.2039831465"", ""-0.0829973322"", ""-0.0256534270"", ""-0.1152359725"", ""-0.3414856869"", ""-0.7376336462"", ""-1.3951668712"", ""-1.9486626011"", ""-2.2312139743"", ""-2.2906315076"", ""-2.4639376867"", ""-1.6341040822"", ""-1.7787726342"", ""-0.6350098609"", ""-0.4799774625"", ""0.1002009318"", ""0.6688535291"", ""0.9405465031""]",,,
2026-06-05T09:31:14.094112,ground_truth,80582703,,,,,,,,0,,,,
